num_chars_s1,num_chars_s2,num_tokens_s1,num_tokens_s2,num_stopwords_s1,num_stopwords_s2,num_token_overlap,num_lemma_overlap,num_nouns_s1,num_nouns_s2,num_verbs_s1,num_verbs_s2,num_adj_s1,num_adj_s2
30,30,5,5,0,3,1,1,1,1,1,1,1,1
43,53,7,8,1,1,3,4,3,3,1,1,1,0
28,50,6,10,2,3,4,4,1,2,0,1,0,0
49,74,10,17,4,8,4,4,3,3,1,1,0,2
69,32,15,8,10,4,3,3,3,2,2,1,0,0
17,20,5,5,2,2,4,4,1,1,1,1,0,0
29,30,8,8,3,3,3,3,3,3,1,1,0,0
29,29,9,9,5,5,6,5,2,3,1,1,0,0
83,82,18,19,4,5,8,8,2,2,4,2,0,0
101,116,20,23,9,11,15,15,3,4,2,2,0,0
25,17,6,5,2,2,4,4,1,1,1,1,0,0
36,36,9,9,6,4,4,4,2,3,1,1,0,0
30,46,8,11,4,6,6,6,2,3,1,1,0,1
42,53,8,9,2,1,2,2,3,3,1,2,0,0
40,32,8,7,4,3,2,3,2,2,1,1,1,0
79,65,21,19,8,11,11,12,4,2,1,1,2,2
74,59,13,12,5,3,6,6,1,1,2,1,1,0
76,87,17,18,7,9,4,4,4,4,1,2,3,1
17,26,5,6,4,4,4,4,0,0,1,1,0,0
37,42,10,10,5,6,4,4,3,3,1,1,0,0
52,52,9,11,3,3,1,1,3,1,1,2,1,0
38,40,9,9,4,4,6,5,3,2,1,2,0,0
27,37,7,11,3,4,5,4,2,3,1,1,0,0
78,70,16,15,9,7,9,10,5,4,1,1,1,1
62,58,9,8,2,2,2,3,3,3,1,1,0,1
22,23,6,7,2,3,3,3,2,2,1,1,0,0
33,38,6,7,1,1,5,5,2,2,1,1,0,1
57,43,11,7,2,1,2,1,4,3,1,1,1,2
36,33,8,8,3,4,6,5,3,2,1,0,0,1
27,32,7,7,3,3,3,3,2,1,1,2,0,0
38,57,9,13,3,6,4,5,3,5,1,2,0,0
94,133,23,29,11,14,20,20,1,5,4,4,0,0
61,58,12,10,6,2,2,4,2,3,1,1,2,2
88,47,19,12,10,6,5,6,4,4,3,1,2,1
35,48,6,8,1,1,4,4,2,4,1,1,0,0
84,82,13,15,6,10,3,4,3,3,2,2,1,1
168,163,34,33,12,16,24,24,5,3,2,2,3,4
17,22,5,5,2,2,3,3,1,1,1,1,0,0
37,43,9,10,5,6,7,7,1,1,2,2,1,1
58,46,12,10,1,1,5,6,0,0,2,1,0,0
64,91,10,17,4,8,7,7,2,5,2,2,1,0
50,44,11,11,5,5,6,7,3,2,0,1,3,2
71,95,15,21,8,11,13,13,2,3,2,3,0,1
21,22,4,5,1,1,4,4,2,2,0,0,0,0
69,87,13,16,4,6,6,6,5,5,1,1,1,1
50,40,7,5,1,0,2,2,3,2,1,1,2,1
53,46,12,11,5,5,4,4,3,3,2,1,1,1
54,43,9,7,0,1,0,3,2,2,1,1,3,1
38,37,8,7,3,2,6,7,2,2,1,1,1,1
100,116,19,20,6,6,10,10,2,4,2,2,2,1
46,49,9,8,4,1,4,4,2,2,2,1,0,1
45,38,11,8,5,6,5,5,2,3,0,0,0,0
46,53,9,11,6,8,5,6,1,2,2,2,0,0
50,58,9,10,2,4,2,1,4,4,2,0,0,0
121,145,20,26,7,12,17,17,8,9,1,1,0,1
46,35,6,5,0,0,3,3,0,1,1,1,0,0
47,59,12,14,6,7,8,10,4,4,1,1,0,1
115,97,23,19,9,10,12,13,6,4,1,1,4,2
58,50,8,8,1,2,2,6,3,3,1,1,2,1
43,46,8,10,1,3,4,5,3,3,1,1,2,2
61,50,13,12,7,7,9,9,5,4,1,1,0,0
26,28,6,7,2,3,4,4,2,2,1,1,0,0
45,45,7,7,2,2,4,4,2,2,1,1,0,0
57,59,13,11,3,2,6,5,1,3,1,1,1,1
32,53,5,10,0,1,2,2,2,2,1,2,2,2
111,110,23,23,8,6,20,19,6,6,2,2,1,1
47,47,8,8,2,2,6,6,2,2,0,0,2,2
29,31,7,8,3,4,3,3,2,2,1,1,0,0
46,60,10,14,7,11,8,8,2,2,2,2,0,0
39,44,9,11,3,5,4,4,2,4,2,1,0,0
31,35,8,8,4,3,3,3,2,3,1,1,0,0
48,54,8,9,2,1,1,1,2,1,2,2,1,1
48,60,8,9,2,2,6,6,2,3,1,1,0,1
43,45,9,9,1,3,6,7,2,1,2,2,0,0
51,53,8,9,1,3,2,2,4,4,1,1,1,0
38,46,5,7,0,1,3,3,2,2,1,1,0,0
110,109,20,20,11,7,10,12,6,8,4,3,0,0
100,84,18,14,5,4,13,13,4,2,2,2,3,2
83,101,18,22,6,7,9,9,3,5,1,1,0,0
148,142,27,25,8,9,20,21,7,7,4,4,3,3
37,29,9,7,4,3,3,3,3,2,1,1,0,0
74,59,13,10,5,3,5,6,5,5,1,1,1,0
41,50,10,11,3,4,7,7,4,5,0,0,2,1
46,46,8,9,3,4,6,6,0,0,1,1,0,0
26,33,6,7,2,3,4,4,2,2,1,1,0,0
39,40,8,8,3,3,5,5,1,1,1,1,0,0
45,79,11,16,6,5,7,6,5,6,1,2,0,2
76,79,17,18,10,10,1,2,3,2,2,3,0,0
34,43,6,9,1,1,3,3,2,2,1,2,0,0
78,78,15,14,7,7,10,10,3,2,2,2,2,3
48,40,11,10,5,5,6,7,3,3,2,1,0,0
92,100,13,16,4,6,9,9,3,3,2,3,2,2
42,38,7,7,1,3,3,3,3,2,1,2,0,0
41,45,9,9,3,3,3,3,2,2,1,1,1,0
61,100,13,22,8,9,2,2,1,2,2,0,0,4
22,23,11,12,0,0,3,3,0,0,0,0,0,0
63,51,14,10,5,3,9,9,3,3,1,0,2,2
49,63,8,12,2,5,3,3,1,1,2,2,0,1
40,44,10,11,8,6,6,6,1,1,2,1,0,0
35,76,8,17,3,6,4,4,2,5,1,3,1,1
35,46,7,8,1,2,3,3,3,3,1,1,0,1
125,92,23,18,10,8,14,14,2,2,1,1,2,1
37,31,10,9,6,5,6,6,3,3,1,1,0,0
44,40,9,9,2,4,3,3,4,3,1,1,1,0
28,27,6,6,3,3,4,4,1,1,1,1,0,0
26,47,7,10,4,4,4,4,2,4,1,1,0,1
42,47,6,7,0,1,1,3,2,3,1,1,1,2
36,29,7,6,2,2,5,5,2,1,1,1,0,0
40,27,8,7,3,3,6,6,1,0,1,1,0,0
43,53,6,8,1,1,2,2,2,2,2,1,0,1
65,71,13,15,8,10,5,5,2,1,2,2,0,0
30,26,8,6,3,3,5,5,2,2,1,1,1,0
57,38,11,9,6,5,5,5,2,2,2,2,0,0
44,43,11,9,4,3,5,6,2,2,1,1,3,2
39,38,9,8,5,6,4,4,1,3,1,0,0,0
161,179,28,30,9,9,19,19,8,7,4,4,2,3
40,45,7,8,2,3,2,2,1,1,1,2,0,0
82,101,15,20,3,4,7,6,1,3,1,3,2,2
104,135,19,26,6,9,11,11,3,4,3,2,1,1
28,36,6,8,2,3,5,5,2,3,1,1,0,0
126,83,24,17,10,12,13,13,4,1,3,3,2,1
46,33,10,8,4,4,6,6,3,2,1,1,1,0
56,44,10,7,3,1,2,2,4,1,1,1,1,2
188,164,30,25,8,6,16,17,9,8,1,1,2,3
53,66,11,13,4,6,8,9,3,3,2,2,0,1
36,31,6,6,2,2,2,4,2,2,1,0,1,1
71,60,13,10,7,4,6,7,0,1,1,1,1,0
62,76,15,15,7,8,5,5,1,5,1,0,1,1
26,25,6,6,2,2,3,3,2,2,1,1,0,0
54,51,8,9,0,1,6,6,2,2,2,1,1,1
39,27,10,7,4,2,7,6,3,2,1,1,1,1
55,72,13,17,6,7,8,7,3,4,2,2,1,3
143,174,29,37,13,14,18,18,6,9,4,4,3,2
19,29,5,7,2,3,4,4,1,2,1,1,0,0
34,29,9,8,4,4,7,6,2,2,1,1,1,0
39,35,8,7,2,1,4,4,0,2,2,0,1,1
57,40,12,7,4,1,1,2,4,4,3,1,0,0
37,53,6,8,2,2,5,6,1,1,1,2,1,1
44,49,11,8,6,2,4,4,4,2,1,2,1,2
48,45,8,9,2,2,3,3,2,2,1,1,1,0
24,29,6,7,2,3,5,5,2,2,1,1,0,0
36,27,7,7,3,3,6,6,2,2,1,1,0,0
158,120,34,25,13,7,20,20,5,3,4,3,2,3
42,56,7,10,1,2,5,4,1,0,1,2,1,1
72,52,12,9,7,3,2,3,4,3,2,1,0,1
137,83,25,13,7,2,11,12,6,4,3,2,3,3
22,25,5,8,0,1,4,5,2,2,0,0,2,2
176,124,34,23,14,11,20,20,8,3,3,3,0,1
23,28,6,7,2,3,4,4,2,2,1,1,0,0
93,93,18,15,10,6,8,8,3,2,2,3,2,2
42,59,7,12,1,2,5,5,1,5,1,0,0,0
35,30,9,8,4,3,4,3,2,2,1,1,1,1
23,37,5,7,3,3,4,4,1,1,0,0,0,0
40,46,7,8,2,1,1,1,4,3,1,1,0,2
94,79,21,18,6,6,9,9,4,2,2,1,1,1
48,41,9,9,3,2,2,2,5,2,1,1,0,0
63,53,11,9,5,3,6,7,3,3,1,1,1,1
29,34,6,8,3,3,2,3,1,2,1,1,0,1
24,26,6,7,2,3,4,3,2,2,1,1,0,0
22,33,7,9,3,4,4,3,2,3,1,1,0,0
35,33,6,7,1,2,5,5,0,0,1,1,0,0
114,104,19,19,8,8,16,15,6,6,2,2,0,0
