num_chars_s1,num_chars_s2,num_tokens_s1,num_tokens_s2,num_stopwords_s1,num_stopwords_s2,num_token_overlap,num_lemma_overlap,num_nouns_s1,num_nouns_s2,num_verbs_s1,num_verbs_s2,num_adj_s1,num_adj_s2
22,27,6,7,3,3,5,5,1,2,1,1,0,0
31,25,8,7,3,3,7,6,2,2,1,1,1,0
45,56,10,11,4,4,8,9,3,3,2,2,0,1
28,26,6,6,2,2,5,5,2,2,1,1,0,0
27,34,7,8,3,3,7,7,2,2,1,2,0,0
22,21,5,5,2,2,4,4,1,1,1,1,0,0
17,17,5,5,2,2,4,4,1,1,1,1,0,0
29,30,7,7,3,3,6,5,2,2,1,1,0,0
41,50,10,10,5,4,7,7,2,2,2,2,0,1
45,37,11,9,6,4,8,8,3,3,1,1,0,0
39,43,10,10,5,5,8,7,3,3,1,1,1,1
43,55,10,13,4,6,10,9,3,4,2,2,0,0
25,32,7,8,3,3,7,6,2,3,1,1,0,0
37,36,9,8,4,4,7,7,3,2,1,1,0,0
29,35,8,9,4,4,7,7,2,3,1,1,0,0
42,45,11,12,7,7,8,8,3,3,2,2,0,0
38,40,9,9,4,4,7,7,2,2,1,1,1,1
19,20,5,5,2,2,4,4,1,1,1,1,0,0
37,32,9,8,4,4,7,7,3,2,1,1,0,0
26,27,7,8,3,4,6,6,2,2,1,1,0,0
27,26,8,8,3,3,6,5,3,3,1,1,0,0
26,27,7,7,3,3,6,5,2,2,1,1,0,0
32,28,8,7,4,3,6,5,2,2,1,1,0,0
28,23,6,6,3,2,5,5,1,2,1,1,0,0
23,28,6,7,2,3,5,5,2,2,1,1,0,0
26,25,7,7,3,3,5,6,2,2,1,1,0,0
31,27,7,7,3,3,5,5,2,2,1,1,0,0
34,31,8,8,4,4,6,6,2,2,1,1,0,0
40,39,9,9,3,3,7,7,3,3,2,2,0,0
24,32,7,8,3,3,7,6,2,2,1,2,0,0
34,29,8,7,3,2,6,6,2,2,1,1,1,1
30,26,7,7,3,3,5,5,2,2,1,1,0,0
48,43,10,10,5,5,7,7,2,2,2,2,1,0
23,26,7,7,3,3,5,5,2,2,1,1,0,0
32,36,9,9,4,4,8,7,3,3,1,1,0,0
30,31,7,8,3,4,6,6,2,2,1,1,0,0
25,29,6,7,2,3,5,5,2,2,1,1,0,0
28,26,6,7,3,3,5,5,1,2,1,1,0,0
28,26,7,7,3,3,5,5,2,2,1,1,0,0
21,26,5,6,1,2,4,5,2,2,1,1,0,0
23,24,6,6,2,2,5,5,2,2,1,1,0,0
38,28,8,7,3,3,6,6,2,2,1,1,1,0
36,30,9,8,4,4,7,6,3,2,1,1,0,0
29,30,7,7,3,3,5,5,2,2,1,1,0,0
23,29,6,7,2,3,5,6,2,2,1,1,0,0
27,30,7,7,3,3,5,5,2,2,1,1,0,0
29,28,7,7,3,3,5,5,2,2,1,1,0,0
29,28,8,7,4,3,6,6,2,2,1,1,0,0
24,26,6,7,2,3,5,5,2,2,1,1,0,0
24,26,6,7,2,3,5,5,2,2,1,1,0,0
24,26,6,7,2,3,5,5,2,2,1,1,0,0
35,27,8,7,3,2,5,5,2,3,1,1,1,0
26,36,7,8,3,3,6,6,2,2,1,1,0,1
19,24,6,7,2,3,5,5,2,2,1,1,0,0
28,27,7,7,3,3,4,4,2,2,1,1,0,0
28,27,7,7,3,3,6,6,2,2,1,1,0,0
28,32,7,8,3,3,6,5,2,2,1,1,0,1
27,21,7,6,3,2,4,6,2,2,1,1,0,0
22,26,6,7,2,3,5,5,2,2,1,1,0,0
35,25,10,7,5,3,7,6,3,2,1,1,0,0
29,31,8,7,3,3,4,4,3,2,1,1,0,0
36,29,10,9,5,4,8,7,3,3,1,1,0,0
29,36,8,9,3,3,7,6,3,3,1,1,0,1
29,24,7,7,3,3,6,5,2,2,1,1,0,0
29,24,7,7,3,3,6,5,2,2,1,1,0,0
41,34,8,7,4,3,6,6,2,2,1,1,0,0
30,21,8,6,4,2,5,6,2,2,1,1,0,0
28,40,8,11,4,6,8,7,2,3,1,1,0,0
17,17,5,5,2,2,4,4,1,1,1,1,0,0
